City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Wewak,PG,-3.5534,143.6268,86.02,65,96,3.31,overcast clouds
70,Iquique,CL,-20.2208,-70.1431,68.0,60,0,13.8,clear sky
71,Hilo,US,19.7297,-155.09,71.6,83,90,14.97,moderate rain
72,Puerto Ayora,EC,-0.7393,-90.3518,78.01,90,25,1.99,light rain
73,Goderich,CA,43.7501,-81.7165,55.4,35,100,5.75,overcast clouds
74,Karaton,ID,-6.3424,106.1045,89.01,62,20,12.66,few clouds
75,Amahai,ID,-3.3333,128.9167,87.69,60,90,5.7,overcast clouds
76,Tocumen,PA,9.0833,-79.3833,78.8,69,20,5.75,few clouds
77,Tromso,NO,69.6496,18.957,39.2,87,75,35.68,broken clouds
78,Port Alfred,ZA,-33.5906,26.891,63.45,83,31,7.2,scattered clouds
79,Carnarvon,AU,-24.8667,113.6333,80.6,57,0,25.32,clear sky
80,Busselton,AU,-33.65,115.3333,62.01,62,53,3.0,broken clouds
81,Georgetown,MY,5.4112,100.3354,87.8,58,20,6.91,few clouds
82,Punta Arenas,CL,-53.15,-70.9167,50.0,71,75,4.61,broken clouds
83,Liku,ID,-0.7275,119.8922,86.31,65,100,1.59,overcast clouds
84,Cidreira,BR,-30.1811,-50.2056,74.26,72,99,11.14,overcast clouds
85,Lishui,CN,28.4604,119.9103,61.27,51,8,3.58,clear sky
86,Egvekinot,RU,66.3167,-179.1667,-10.34,97,83,3.56,broken clouds
87,Ust-Kuyga,RU,70.0167,135.6,-9.47,90,100,8.41,overcast clouds
88,Upernavik,GL,72.7868,-56.1549,-9.99,96,100,7.56,overcast clouds
89,Marau,BR,-28.4492,-52.2,64.78,98,87,6.35,overcast clouds
90,Diamantino,BR,-14.4086,-56.4461,70.12,92,2,3.83,clear sky
91,New Norfolk,AU,-42.7826,147.0587,75.99,39,31,1.99,scattered clouds
92,Nemuro,JP,43.3236,145.575,42.8,52,20,10.36,few clouds
93,Klaksvik,FO,62.2266,-6.589,41.0,93,90,5.75,drizzle
94,Ponta Do Sol,PT,32.6667,-17.1,55.0,58,11,4.0,few clouds
95,Haines Junction,CA,60.7522,-137.5108,21.2,33,93,3.44,overcast clouds
96,Ramos Arizpe,MX,25.55,-100.9667,82.4,26,40,17.27,scattered clouds
97,Bull Savanna,JM,17.8868,-77.5902,72.7,79,5,3.91,clear sky
98,Kulu,TR,39.0951,33.0799,48.79,59,90,4.21,overcast clouds
99,La Plata,AR,-34.9215,-57.9545,64.99,92,85,5.68,overcast clouds
100,Suamico,US,44.6319,-88.0393,54.0,58,90,5.75,overcast clouds
101,Kenai,US,60.5544,-151.2583,28.4,50,1,8.05,clear sky
102,Palmas De Monte Alto,BR,-14.2672,-43.1619,72.64,52,95,5.44,overcast clouds
103,Gat,IL,31.61,34.7642,78.01,40,100,4.0,overcast clouds
104,Kodiak,US,57.79,-152.4072,33.8,80,90,6.91,light rain
105,Betong,TH,5.7743,101.0723,87.87,47,77,4.09,broken clouds
106,Kuito,AO,-12.3833,16.9333,57.38,94,74,2.28,broken clouds
107,Menongue,AO,-14.6585,17.691,61.41,95,18,3.69,few clouds
108,Atar,MR,20.5169,-13.0499,70.72,16,0,5.93,clear sky
109,Taveta,KE,-3.3963,37.6736,68.05,89,86,3.44,overcast clouds
110,Bandarbeyla,SO,9.4942,50.8122,74.75,64,0,6.02,clear sky
111,Lorengau,PG,-2.0226,147.2712,81.09,77,100,3.67,heavy intensity rain
112,Fortuna,US,40.5982,-124.1573,48.99,87,90,14.97,overcast clouds
113,Castro,BR,-24.7911,-50.0119,63.9,91,99,2.84,overcast clouds
114,Tasiilaq,GL,65.6145,-37.6368,19.4,73,75,3.44,broken clouds
115,Richards Bay,ZA,-28.783,32.0377,65.43,87,80,6.51,broken clouds
116,Albany,US,42.6001,-73.9662,48.99,41,0,3.31,clear sky
117,Slave Lake,CA,55.2834,-114.769,17.6,73,1,3.44,clear sky
118,Pacific Grove,US,36.6177,-121.9166,53.6,76,40,13.8,scattered clouds
119,Arraial Do Cabo,BR,-22.9661,-42.0278,76.28,84,31,5.7,scattered clouds
120,Pevek,RU,69.7008,170.3133,-11.04,92,50,1.21,scattered clouds
121,Batemans Bay,AU,-35.7167,150.1833,68.0,100,100,17.13,moderate rain
122,Bengkulu,ID,-3.8004,102.2655,83.48,66,83,1.74,broken clouds
